SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-21-2020,Single Family Residential,516 N 68th St,Seattle,WA,98103,1653000,5,4.0,Phinney Ridge,3220,7350,1910,44,513,,Sold,,,http://www.redfin.com/WA/Seattle/516-N-68th-St-98103/home/301095,NWMLS,1580126,N,Y,47.6789612,-122.3518504
MLS Listing,,Single Family Residential,1419 N 54th St,Seattle,WA,98103,1895000,4,2.5,Green Lake,3230,5743,2005,1,587,,Active,,,http://www.redfin.com/WA/Seattle/1419-N-54th-St-98103/home/305040,NWMLS,1606180,N,Y,47.6676065,-122.3391887
MLS Listing,,Single Family Residential,718 N 49th St,Seattle,WA,98103,1275000,3,2.75,Wallingford,2181,1767,2020,6,585,,Active,,,http://www.redfin.com/WA/Seattle/718-N-49th-St-98103/home/171939748,NWMLS,1608064,N,Y,47.6643083,-122.3492197
MLS Listing,,Single Family Residential,4003 Midvale Ave N,Seattle,WA,98103,1499999,5,3.0,Wallingford,3480,4218,1928,6,431,,Active,,,http://www.redfin.com/WA/Seattle/4003-Midvale-Ave-N-98103/home/119644,NWMLS,1603948,N,Y,47.6555542,-122.3438466
MLS Listing,,Single Family Residential,7552 E Greenlake Dr N,Seattle,WA,98103,1100000,3,1.5,Green Lake,2330,4104,1929,6,472,,Active,,,http://www.redfin.com/WA/Seattle/7552-E-Green-Lake-Dr-N-98103/home/306812,NWMLS,1606027,N,Y,47.6828191,-122.3318233
MLS Listing,,Single Family Residential,1900 N 47th St,Seattle,WA,98103,1145000,3,1.75,Wallingford,2440,2600,1924,7,469,,Active,,,http://www.redfin.com/WA/Seattle/1900-N-47th-St-98103/home/117998,NWMLS,1606902,N,Y,47.663064,-122.3349714
PAST SALE,,Single Family Residential,4129 Meridian Ave N,Seattle,WA,98103,1985000,5,3.5,Wallingford,3520,4200,2007,9,564,,Pending,,,http://www.redfin.com/WA/Seattle/4129-Meridian-Ave-N-98103/home/2111014,NWMLS,1604390,N,Y,47.6577199,-122.3341157
PAST SALE,September-30-2016,Single Family Residential,6644 E Green Lake Way N,Seattle,WA,98103,1598000,4,2.75,Green Lake,2870,4251,1926,9,557,,Pending,,,http://www.redfin.com/WA/Seattle/6644-E-Green-Lake-Way-N-98103/home/307038,NWMLS,1603511,N,Y,47.6781187,-122.330722
MLS Listing,,Single Family Residential,2318 N 44th St,Seattle,WA,98103,1399000,4,3.5,Wallingford,2832,3025,1924,12,494,,Active,,,http://www.redfin.com/WA/Seattle/2318-N-44th-St-98103/home/118788,NWMLS,1605623,N,Y,47.660472,-122.3304138
MLS Listing,,Single Family Residential,346 N 71st St,Seattle,WA,98103,1200000,5,1.75,Phinney Ridge,3110,4000,1910,14,386,,Active,,,http://www.redfin.com/WA/Seattle/346-N-71st-St-98103/home/300979,NWMLS,1598140,N,Y,47.680547,-122.3533481
MLS Listing,,Single Family Residential,7709 Corliss Ave N,Seattle,WA,98103,1100000,3,2.5,Green Lake,2420,4000,1965,14,455,,Active,,,http://www.redfin.com/WA/Seattle/7709-Corliss-Ave-N-98103/home/307657,NWMLS,1597350,N,Y,47.6854382,-122.3307566
PAST SALE,November-6-2009,Single Family Residential,5516 Woodlawn Ave N,Seattle,WA,98103,1095000,4,4.0,Green Lake,2893,4200,1919,15,378,,Pending,,,http://www.redfin.com/WA/Seattle/5516-Woodlawn-Ave-N-98103/home/304024,NWMLS,1603041,N,Y,47.6692346,-122.3376947
PAST SALE,November-15-2013,Single Family Residential,7711 Meridian Ave N,Seattle,WA,98103,1589950,4,3.5,Green Lake,2720,4290,1992,20,585,,Pending,,,http://www.redfin.com/WA/Seattle/7711-Meridian-Ave-N-98103/home/307693,NWMLS,1601893,N,Y,47.685512,-122.3333763
PAST SALE,July-25-1986,Single Family Residential,7339 W Green Lake Dr N,Seattle,WA,98103,1700000,4,3.0,Green Lake,3123,4032,1922,21,544,,Pending,,,http://www.redfin.com/WA/Seattle/7339-W-Green-Lake-Dr-N-98103/home/307303,NWMLS,1599858,N,Y,47.6830537,-122.3406372
PAST SALE,,Single Family Residential,454 N 39th St Unit A,Seattle,WA,98103,1595000,5,3.5,Fremont,3398,4800,2020,27,469,5,Pending,,,http://www.redfin.com/WA/Seattle/454-N-39th-St-98103/unit-A/home/171559689,NWMLS,1598801,N,Y,47.6542756,-122.3529768
PAST SALE,November-9-2006,Single Family Residential,8027 Sunnyside Ave N,Seattle,WA,98103,1420000,4,3.5,Green Lake,3310,4650,2004,27,429,,Pending,,,http://www.redfin.com/WA/Seattle/8027-Sunnyside-Ave-N-98103/home/306598,NWMLS,1599064,N,Y,47.6877583,-122.330062
MLS Listing,,Single Family Residential,3522 Densmore Ave N,Seattle,WA,98103,1746000,4,5.0,Wallingford,3870,4845,1982,28,451,,Active,,,http://www.redfin.com/WA/Seattle/3522-Densmore-Ave-N-98103/home/119486,NWMLS,1598440,N,Y,47.6499334,-122.3372052
PAST SALE,April-12-2013,Single Family Residential,136 N 78th St,Seattle,WA,98103,1250000,3,2.25,Phinney Ridge,2401,3090,2013,35,521,,Pending,,,http://www.redfin.com/WA/Seattle/136-N-78th-St-98103/home/25674445,NWMLS,1560476,N,Y,47.6857089,-122.3563821
PAST SALE,,Single Family Residential,4620 Dayton Ave N,Seattle,WA,98103,1350000,3,3.5,Fremont,2025,1625,2020,44,667,,Pending,,,http://www.redfin.com/WA/Seattle/4620-Dayton-Ave-N-98103/home/171387702,NWMLS,1592180,N,Y,47.6626025,-122.352455
PAST SALE,September-11-2015,Single Family Residential,5531 Woodlawn Ave N,Seattle,WA,98103,1499000,4,3.0,Green Lake,2710,3000,1910,49,553,,Pending,,,http://www.redfin.com/WA/Seattle/5531-Woodlawn-Ave-N-98103/home/304729,NWMLS,1590654,N,Y,47.669663,-122.3382394
PAST SALE,January-4-1990,Single Family Residential,4323 Sunnyside Ave N,Seattle,WA,98103,1295000,3,1.5,Wallingford,1962,4560,1912,58,660,,Pending,,,http://www.redfin.com/WA/Seattle/4323-Sunnyside-Ave-N-98103/home/117559,NWMLS,1586240,N,Y,47.6598905,-122.3304912
MLS Listing,,Single Family Residential,4228 Interlake Ave N,Seattle,WA,98103,1199000,3,1.5,Wallingford,1560,4000,1921,72,769,,Active,,,http://www.redfin.com/WA/Seattle/4228-Interlake-Ave-N-98103/home/118356,NWMLS,1579891,N,Y,47.6589287,-122.340489
PAST SALE,,Single Family Residential,7111 Aurora Ave N,Seattle,WA,98103,1450000,5,4.0,Green Lake,3163,3797,2020,94,458,,Pending,,,http://www.redfin.com/WA/Seattle/7111-Aurora-Ave-N-98103/home/170939350,NWMLS,1569376,N,Y,47.6806121,-122.3454504
MLS Listing,,Single Family Residential,7235 W Green Lake Dr N,Seattle,WA,98103,1599000,4,2.5,Green Lake,3320,6800,1927,283,482,,Active,,,http://www.redfin.com/WA/Seattle/7235-W-Green-Lake-Dr-N-98103/home/306531,NWMLS,1510902,N,Y,47.682048,-122.3428667
PAST SALE,May-23-2014,Single Family Residential,3601 Corliss Ave N,Seattle,WA,98103,1699000,6,3.0,Wallingford,3270,3192,1919,328,520,,Pending,,,http://www.redfin.com/WA/Seattle/3601-Corliss-Ave-N-98103/home/119194,NWMLS,1490000,N,Y,47.6506041,-122.3317917
PAST SALE,June-2-2020,Single Family Residential,918 N 77th St,Seattle,WA,98103,1050000,4,2.0,Green Lake,2500,4500,1925,2,420,,Sold,,,http://www.redfin.com/WA/Seattle/918-N-77th-St-98103/home/300810,NWMLS,1590545,N,Y,47.6849668,-122.3462657
PAST SALE,April-20-2020,Single Family Residential,4459 Midvale Ave N Unit A,Seattle,WA,98103,1125000,3,2.25,Wallingford,1920,1645,2016,45,586,,Sold,,,http://www.redfin.com/WA/Seattle/4459-Midvale-Ave-N-98103/unit-A/home/120277,NWMLS,1580285,N,Y,47.6610223,-122.3440324
PAST SALE,May-15-2020,Single Family Residential,4006 Greenwood Ave N,Seattle,WA,98103,1150000,3,2.0,Fremont,2080,4800,1953,20,553,,Sold,,,http://www.redfin.com/WA/Seattle/4006-Greenwood-Ave-N-98103/home/302092,NWMLS,1583045,N,Y,47.6556582,-122.3551903
PAST SALE,April-24-2020,Single Family Residential,2150 N 63rd St,Seattle,WA,98103,1225000,2,1.75,Green Lake,1600,3060,2018,41,766,,Sold,,,http://www.redfin.com/WA/Seattle/2150-N-63rd-St-98103/home/144466513,NWMLS,1576125,N,Y,47.6746462,-122.3313014
PAST SALE,March-31-2020,Single Family Residential,7466 Corliss Ave N,Seattle,WA,98103,1065000,3,1.75,Green Lake,1880,4000,1949,65,566,,Sold,,,http://www.redfin.com/WA/Seattle/7466-Corliss-Ave-N-98103/home/306854,NWMLS,1570315,N,Y,47.6846044,-122.3301369
PAST SALE,May-15-2020,Single Family Residential,8040 Burke Ave N,Seattle,WA,98103,1460000,4,3.5,Green Lake,3140,3753,2005,20,465,,Sold,,,http://www.redfin.com/WA/Seattle/8040-Burke-Ave-N-98103/home/2097594,NWMLS,1580266,N,Y,47.6880966,-122.3352434
PAST SALE,March-12-2020,Single Family Residential,912 N 79th St,Seattle,WA,98103,1060000,5,2.75,Green Lake,2660,4500,1909,84,398,,Sold,,,http://www.redfin.com/WA/Seattle/912-N-79th-St-98103/home/299912,NWMLS,1559466,N,Y,47.686467,-122.3465395
PAST SALE,April-17-2020,Single Family Residential,1326 N 79th St,Seattle,WA,98103,1360000,3,3.0,Green Lake,2550,4368,2006,48,533,,Sold,,,http://www.redfin.com/WA/Seattle/1326-N-79th-St-98103/home/307089,NWMLS,1576032,N,Y,47.6864234,-122.3405505
PAST SALE,June-1-2020,Single Family Residential,1629 N 53rd St,Seattle,WA,98103,1180000,4,1.75,Green Lake,2780,5350,1910,3,424,,Sold,,,http://www.redfin.com/WA/Seattle/1629-N-53rd-St-98103/home/305852,NWMLS,1593423,N,Y,47.6670644,-122.3372369
PAST SALE,May-18-2020,Single Family Residential,1617 N 48th St,Seattle,WA,98103,1175000,4,1.0,Wallingford,2680,5000,1926,17,438,,Sold,,,http://www.redfin.com/WA/Seattle/1617-N-48th-St-98103/home/118221,NWMLS,1604659,N,Y,47.6633915,-122.3382837
PAST SALE,,Single Family Residential,4408 Densmore Ave N,Seattle,WA,98103,1000000,3,1.0,,1310,4560,1925,,763,,,,,http://www.redfin.com/WA/Seattle/4408-Densmore-Ave-N-98103/home/118566,,,N,Y,47.6606372,-122.3370977
PAST SALE,March-9-2020,Single Family Residential,2017 N 80th St,Seattle,WA,98103,1199000,4,2.75,Green Lake,3023,4400,1916,87,397,,Sold,,,http://www.redfin.com/WA/Seattle/2017-N-80th-St-98103/home/307332,NWMLS,1564030,N,Y,47.6866801,-122.3335768
PAST SALE,March-23-2020,Single Family Residential,4015 1st Ave NE,Seattle,WA,98105,1057500,3,1.5,Wallingford,2530,4000,1916,73,418,,Sold,,,http://www.redfin.com/WA/Seattle/4015-1st-Ave-NE-98103/home/118853,NWMLS,1566954,N,Y,47.6560324,-122.3281846
PAST SALE,March-19-2020,Single Family Residential,761 N 73rd St,Seattle,WA,98103,1739000,4,3.5,Green Lake,3044,3217,2019,77,571,,Sold,,,http://www.redfin.com/WA/Seattle/761-N-73rd-St-98103/home/300370,NWMLS,1555358,N,Y,47.6816284,-122.347215
PAST SALE,May-22-2020,Single Family Residential,2113 N 89th St,Seattle,WA,98103,1000000,4,3.5,Green Lake,2360,2250,2009,13,424,,Sold,,,http://www.redfin.com/WA/Seattle/2113-N-89th-St-98103/home/22441371,NWMLS,1588675,N,Y,47.692918,-122.333194
PAST SALE,May-22-2020,Single Family Residential,534 N 79th St,Seattle,WA,98103,1200000,5,2.5,Green Lake,2623,4000,1925,13,457,,Sold,,,http://www.redfin.com/WA/Seattle/534-N-79th-St-98103/home/301263,NWMLS,1578899,N,Y,47.6864231,-122.35105
PAST SALE,May-13-2020,Single Family Residential,5119 Meridian Ave N,Seattle,WA,98103,1125000,5,1.0,Wallingford,2860,4013,1914,22,393,,Sold,,,http://www.redfin.com/WA/Seattle/5119-Meridian-Ave-N-98103/home/305455,NWMLS,1586333,N,Y,47.6663751,-122.3339842
PAST SALE,March-20-2020,Single Family Residential,4715 Stone Way N,Seattle,WA,98103,1000000,4,1.75,Wallingford,2530,2999,1916,76,395,,Sold,,,http://www.redfin.com/WA/Seattle/4715-Stone-Way-N-98103/home/120506,NWMLS,1558201,N,Y,47.6633099,-122.34167
PAST SALE,May-28-2020,Single Family Residential,8017 Bagley Ave N,Seattle,WA,98103,1030000,3,3.75,Green Lake,2170,6000,1910,7,475,,Sold,,,http://www.redfin.com/WA/Seattle/8017-Bagley-Ave-N-98103/home/307136,NWMLS,1592693,N,Y,47.6873789,-122.3324792
PAST SALE,April-7-2020,Single Family Residential,5319 Greenwood Ave N,Seattle,WA,98103,1201000,3,1.75,Phinney Ridge,2800,4500,1900,58,429,,Sold,,,http://www.redfin.com/WA/Seattle/5319-Greenwood-Ave-N-98103/home/298916,NWMLS,1564948,N,Y,47.6676756,-122.3556909
PAST SALE,March-20-2020,Single Family Residential,4667 Eastern Ave N,Seattle,WA,98103,1400000,4,2.5,Wallingford,2856,4000,1914,76,490,,Sold,,,http://www.redfin.com/WA/Seattle/4667-Eastern-Ave-N-98103/home/118491,NWMLS,1561441,N,Y,47.6645369,-122.3293455
PAST SALE,April-30-2020,Single Family Residential,5211 Kensington Pl N,Seattle,WA,98103,1099000,4,1.75,Wallingford,2060,4250,1924,35,533,,Sold,,,http://www.redfin.com/WA/Seattle/5211-Kensington-Pl-N-98103/home/305569,NWMLS,1588636,N,Y,47.6667989,-122.329103
PAST SALE,May-14-2020,Single Family Residential,3924 Interlake Ave N,Seattle,WA,98103,1025000,3,1.75,Wallingford,1670,3893,1926,21,614,,Sold,,,http://www.redfin.com/WA/Seattle/3924-Interlake-Ave-N-98103/home/119155,NWMLS,1587262,N,Y,47.6549223,-122.3408178
PAST SALE,,Single Family Residential,4210 Burke Ave N,Seattle,WA,98103,1550000,3,2.5,,2570,7200,1906,,603,,,,,http://www.redfin.com/WA/Seattle/4210-Burke-Ave-N-98103/home/118068,,,N,Y,47.6583513,-122.3346958
PAST SALE,May-27-2020,Single Family Residential,2326 N 64th,Seattle,WA,98103,1185000,3,1.5,Green Lake,1740,6120,1907,8,681,,Sold,,,http://www.redfin.com/WA/Seattle/2326-N-64th-St-98103/home/305578,NWMLS,1597827,N,Y,47.6753499,-122.3295784
PAST SALE,April-22-2020,Single Family Residential,510 N 40th St,Seattle,WA,98103,1175000,3,2.75,Fremont,2620,4800,1942,43,448,,Sold,,,http://www.redfin.com/WA/Seattle/510-N-40th-St-98103/home/303574,NWMLS,1579780,N,Y,47.6555917,-122.3521331
