SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5555 33rd Ave NE,Seattle,WA,98105,1100000,6,2.5,Bryant,2300,4480,1918,1,478,,Active,,,http://www.redfin.com/WA/Seattle/5555-33rd-Ave-NE-98105/home/313325,NWMLS,1607590,N,Y,47.6700957,-122.2927093
PAST SALE,November-26-2014,Single Family Residential,4319 NE 44th St,Seattle,WA,98105,1450000,5,3.25,Laurelhurst,2680,4000,1936,8,541,,Pending,,,http://www.redfin.com/WA/Seattle/4319-NE-44th-St-98105/home/122595,NWMLS,1606765,N,Y,47.6603966,-122.2804078
MLS Listing,,Single Family Residential,4705 45th Ave NE,Seattle,WA,98105,1200000,3,2.5,Laurelhurst,2030,5100,1923,13,591,,Active,,,http://www.redfin.com/WA/Seattle/4705-45th-Ave-NE-98105/home/121715,NWMLS,1601665,N,Y,47.6633577,-122.2797151
PAST SALE,,Single Family Residential,5518 Ann Arbor Ave NE,Seattle,WA,98105,1299000,3,2.5,Hawthorne Hills,3203,9072,1940,13,406,,Pending,,,http://www.redfin.com/WA/Seattle/5518-Ann-Arbor-Ave-NE-98105/home/320413,NWMLS,1604032,N,Y,47.6698847,-122.274256
MLS Listing,,Single Family Residential,5244 17th Ave NE,Seattle,WA,98105,1250000,4,2.75,Ravenna,2470,4320,1908,15,506,,Active,,,http://www.redfin.com/WA/Seattle/5244-17th-Ave-NE-98105/home/308695,NWMLS,1600291,N,Y,47.6677201,-122.3091359
MLS Listing,,Single Family Residential,5217 5th Ave NE,Seattle,WA,98105,1100000,4,2.0,Green Lake,1980,5100,1921,15,556,,Active,,,http://www.redfin.com/WA/Seattle/5217-5th-Ave-NE-98105/home/305113,NWMLS,1602862,N,Y,47.6670083,-122.3231329
PAST SALE,February-16-2016,Single Family Residential,4005 NE 57th St,Seattle,WA,98105,1777000,5,3.5,Hawthorne Hills,3590,3520,2015,22,495,,Pending,,,http://www.redfin.com/WA/Seattle/4005-NE-57th-St-98105/home/313749,NWMLS,1598086,N,Y,47.6701504,-122.2844499
PAST SALE,,Single Family Residential,3829 41st Ave NE,Seattle,WA,98105,1749000,4,3.0,Laurelhurst,3230,4500,1939,23,541,,Pending,,,http://www.redfin.com/WA/Seattle/3829-41st-Ave-NE-98105/home/122372,NWMLS,1599808,N,Y,47.6574623,-122.2842783
PAST SALE,July-7-2016,Single Family Residential,5819 17th Ave NE,Seattle,WA,98105,1349000,5,1.75,Ravenna,3110,6480,1908,26,434,,Pending,,,http://www.redfin.com/WA/Seattle/5819-17th-Ave-NE-98105/home/308675,NWMLS,1599418,N,Y,47.6719034,-122.3099153
MLS Listing,,Single Family Residential,4561 Purdue Ave NE,Seattle,WA,98105,1195000,4,1.75,Hawthorne Hills,2910,7497,1946,28,411,,Active,,,http://www.redfin.com/WA/Seattle/4561-Purdue-Ave-NE-98105/home/320520,NWMLS,1596558,N,Y,47.6699804,-122.2774941
PAST SALE,November-29-2004,Single Family Residential,5703 31st Ave NE,Seattle,WA,98105,1150000,3,2.0,Bryant,2410,5619,1924,28,477,,Pending,,,http://www.redfin.com/WA/Seattle/5703-31st-Ave-NE-98105/home/313147,NWMLS,1596783,N,Y,47.6704953,-122.2942368
PAST SALE,July-31-1995,Single Family Residential,4201 51st Ave NE,Seattle,WA,98105,1299000,4,1.75,Laurelhurst,2400,8365,1941,29,541,,Pending,,,http://www.redfin.com/WA/Seattle/4201-51st-Ave-NE-98105/home/121453,NWMLS,1597102,N,Y,47.6587741,-122.2730578
MLS Listing,,Single Family Residential,4312 36th Ave NE,Seattle,WA,98105,1998000,5,5.5,Laurelhurst,4800,5000,2016,34,416,,Active,,,http://www.redfin.com/WA/Seattle/4312-36th-Ave-NE-98105/home/122791,NWMLS,1595141,N,Y,47.660264,-122.289044
PAST SALE,September-16-2014,Single Family Residential,4556 Purdue Ave NE,Seattle,WA,98105,1395000,4,2.75,Hawthorne Hills,2743,6930,1947,35,509,,Pending,,,http://www.redfin.com/WA/Seattle/4556-Purdue-Ave-NE-98105/home/320394,NWMLS,1595035,N,Y,47.6704344,-122.2775473
PAST SALE,October-18-2016,Single Family Residential,3883 44th Ave NE,Seattle,WA,98105,1350000,3,2.25,Laurelhurst,2420,4000,1928,35,558,,Pending,,,http://www.redfin.com/WA/Seattle/3883-44th-Ave-NE-98105/home/121785,NWMLS,1594889,N,Y,47.657889,-122.280392
