SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,Style,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,9741 48th Ave NE,Seattle,WA,98115,865000,4,2,Matthews Beach,2060,7200,1938,2,420,,Active,,craftsman,http://www.redfin.com/WA/Seattle/9741-48th-Ave-NE-98115/home/318961,NWMLS,1607332,N,Y,47.7006178,-122.2768065
PAST SALE,September-4-2013,Single Family Residential,6233 38th Ave NE,Seattle,WA,98115,885000,4,1.75,Bryant,1800,5000,1946,19,492,,Pending,,cape cod,http://www.redfin.com/WA/Seattle/6233-38th-Ave-NE-98115/home/313380,NWMLS,1600306,N,Y,47.6749867,-122.2871837
PAST SALE,November-14-2011,Single Family Residential,1725 NE 90th St,Seattle,WA,98115,999999,5,2.75,Maple Leaf,3530,9570,1940,38,283,,Pending,,,http://www.redfin.com/WA/Seattle/1725-NE-90th-St-98115/home/106864,NWMLS,1591974,N,Y,47.6937494,-122.3080388
PAST SALE,March-25-2020,Single Family Residential,6556 40th Ave NE,Seattle,WA,98115,974950,3,1.5,Bryant,2060,5995,1951,67,473,,Sold,,cape cod,http://www.redfin.com/WA/Seattle/6556-40th-Ave-NE-98115/home/314906,NWMLS,1573718,N,Y,47.6774494,-122.2846685
MLS Listing,,Single Family Residential,8613 A 23rd Ave NE,Seattle,WA,98115,849999,3,2.25,Lake City,1973,1625,2020,2,431,,Active,,modern,http://www.redfin.com/WA/Seattle/8613-23rd-Ave-NE-98115/home/171700769,NWMLS,1607925,N,Y,47.691647,-122.3041728
MLS Listing,,Single Family Residential,8616 5th Ave NE,Seattle,WA,98115,799950,4,2.75,Maple Leaf,2760,4930,1962,2,290,,Active,,,http://www.redfin.com/WA/Seattle/8616-5th-Ave-NE-98115/home/109609,NWMLS,1608372,N,Y,47.6918346,-122.3226934
MLS Listing,,Single Family Residential,608 NE 78th St,Seattle,WA,98115,875000,3,1.75,Maple Leaf,1830,3880,1925,2,478,,Active,,craftsman,http://www.redfin.com/WA/Seattle/608-NE-78th-St-98115/home/108534,NWMLS,1607573,N,Y,47.6855224,-122.3210703
MLS Listing,,Single Family Residential,3837 NE 95th St,Seattle,WA,98115,799950,3,1.75,Wedgwood,2720,6120,1941,2,294,,Active,,,http://www.redfin.com/WA/Seattle/3837-NE-95th-St-98115/home/317847,NWMLS,1606854,N,Y,47.6972096,-122.2861441
MLS Listing,,Single Family Residential,6803 44th Ave NE,Seattle,WA,98115,985000,4,1.75,View Ridge,2320,6237,1952,2,425,,Active,,traditional,http://www.redfin.com/WA/Seattle/6803-44th-Ave-NE-98115/home/315794,NWMLS,1607461,N,Y,47.6777848,-122.2812512
MLS Listing,,Single Family Residential,535 NE 80th St,Seattle,WA,98115,830000,3,2.25,Maple Leaf,2000,3880,1929,3,415,,Active,,tudor,http://www.redfin.com/WA/Seattle/535-NE-80th-St-98115/home/108879,NWMLS,1604820,N,Y,47.686604,-122.3213736
